1,Acolyte,Type,,"I idolize a particular hero of my faith, and constantly refer to that person's deeds and example."
2,Acolyte,Type,,"I can find common ground between the fiercest enemies, empathizing with them and always working toward peace."
3,Acolyte,Type,,"I see omens in every event and action. The gods try to speak to us, we just need to listen."
4,Acolyte,Type,,Nothing can shake my optimistic attitude.
5,Acolyte,Type,,I quote (or misquote) sacred texts and proverbs in almost every situation.
6,Acolyte,Type,,I am tolerant (or intolerant) of other faiths and respect (or condemn) the worship of other gods.
7,Acolyte,Type,,"I've enjoyed fine food, drink, and high society among my temple's elite. Rough living grates on me."
8,Acolyte,Type,,I've spent so long in the temple that I have little practical experience dealing with people in the outside world.
9,Acolyte,Ideal,Lawful,Tradilion. lhe aneient traditions of worship and sacrifice must be preserved and upheld.
10,Acolyte,Ideal,Good,"Charity. I always try to help those in need, no matter what the personal cosI."
11,Acolyte,Ideal,Chaotic,Change. We must help bring aboullhe changes the gods are constantly working in the world.
12,Acolyte,Ideal,Lawful,Power. I hope to one day rise to the top of my failh's religious hierarchy.
13,Acolyte,Ideal,Lawful,"Faith. I trust that my deity will guide my aclions. I have faith that if I work hard, things will go well."
14,Acolyte,Ideal,,Aspiration. I seek to prove myself worthy of my god’s favor by matching my actions against his or her teachings
15,Acolyte,Bond,,I would die to recover an ancient relic of my faith that was lost long ago.
16,Acolyte,Bond,,I will someday get revenge on the corrupt temple hierarchy who branded me a heretic.
17,Acolyte,Bond,,I owe my life to the priest who took me in when my parents died.
18,Acolyte,Bond,,Everything I do is for the common people.
19,Acolyte,Bond,,I will do anything to protect the temple where I served.
20,Acolyte,Bond,,I seek to preserve a sacred text that my enemies consider heretical and seek to destroy.
21,Acolyte,Flaw,,"I judge others harshly, and myself even more severely."
22,Acolyte,Flaw,,I put too much trust in those who wield power within my temple’s hierarchy.
23,Acolyte,Flaw,,My piety sometimes leads me to blindly trust those that profess faith in my god.
24,Acolyte,Flaw,,I am inflexible in my thinking.
25,Acolyte,Flaw,,I am suspicious of strangers and expect the worst of them.
26,Acolyte,Flaw,,"Once I pick a goal, I become obsessed with it to the detriment of everything else in my life."
27,Charlatan,Type,,I cheat at games involving chance.
28,Charlatan,Type,,I shave coins or forge documents.
29,Charlatan,Type,,I insinuate myself into people’s lives to prey on their weakness and secure their fortunes.
30,Charlatan,Type,,I put on new identities like clothes.
31,Charlatan,Type,,I run sleight-of-hand cons on street corners.
32,Charlatan,Type,,I convince people that worthless junk is worth their hard-earned money.
33,Charlatan,Trait,,"I fall in and out of love easily, and am always pursuing someone."
